Rank	Title	Year	Director	Cast 1	Cast 2	Cast 3	Cast 4	Cast 5
423	Top Gun	1986	Tony Scott	Tom Cruise	Kelly McGillis	Val Kilmer	Anthony Edwards	Tom Skerritt
424	Touch of Evil	1958	Orson Welles	Charlton Heston	Janet Leigh	Orson Welles	Joseph Calleia	Akim Tamiroff
425	Toy Story	1995	John Lasseter	Tom Hanks	Tim Allen	Don Rickles	Jim Varney	Wallace Shawn
426	Toy Story 2	1999	John Lasseter	Tom Hanks	Tim Allen	Joan Cusack	Kelsey Grammer	Don Rickles
427	Toy Story 3	2010	Lee Unkrich	Tom Hanks	Tim Allen	Joan Cusack	Ned Beatty	Don Rickles
428	Trainspotting	1996	Danny Boyle	Ewan McGregor	Ewen Bremner	Jonny Lee Miller	Kevin McKidd	Robert Carlyle
429	Transformers	2007	Michael Bay	Shia LaBeouf	Megan Fox	Josh Duhamel	Tyrese Gibson	Rachael Taylor
430	Transformers: Dark of the Moon	2011	Michael Bay	Shia LaBeouf	Rosie Huntington-Whiteley	Josh Duhamel	John Turturro	Tyrese Gibson
431	Transformers: Revenge of the Fallen	2009	Michael Bay	Shia LaBeouf	Megan Fox	Josh Duhamel	Tyrese Gibson	John Turturro
432	True Grit	2010	Ethan Coen	Jeff Bridges	Hailee Steinfeld	Matt Damon	Josh Brolin	Barry Pepper
433	Twelve Monkeys	1995	Terry Gilliam	Joseph Melito	Bruce Willis	Jon Seda	Michael Chance	Vernon Campbell
434	Twilight	2008	Catherine Hardwicke	Kristen Stewart	Sarah Clarke	Matt Bushell	Billy Burke	Gil Birmingham
435	Twister	1996	Jan de Bont	Helen Hunt	Bill Paxton	Cary Elwes	Jami Gertz	Philip Seymour Hoffman
436	Unforgiven	1992	Clint Eastwood	Clint Eastwood	Gene Hackman	Morgan Freeman	Richard Harris	Jaimz Woolvett
437	Up	2009	Pete Docter	Edward Asner	Christopher Plummer	Jordan Nagai	Bob Peterson	Delroy Lindo
438	V for Vendetta	2005	James McTeigue	Natalie Portman	Hugo Weaving	Stephen Rea	Stephen Fry	John Hurt
439	Vertigo	1958	Alfred Hitchcock	James Stewart	Kim Novak	Barbara Bel Geddes	Tom Helmore	Henry Jones
440	WALL·E	2008	Andrew Stanton	Ben Burtt	Elissa Knight	Jeff Garlin	Fred Willard	MacInTalk
441	War of the Worlds	2005	Steven Spielberg	Tom Cruise	Dakota Fanning	Miranda Otto	Justin Chatwin	Tim Robbins
442	Warrior	2011	Gavin O'Connor	Joel Edgerton	Tom Hardy	Nick Nolte	Jennifer Morrison	Frank Grillo
443	Wedding Crashers	2005	David Dobkin	Owen Wilson	Vince Vaughn	Christopher Walken	Rachel McAdams	Isla Fisher
444	What Lies Beneath	2000	Robert Zemeckis	Michelle Pfeiffer	Katharine Towne	Miranda Otto	James Remar	Harrison Ford
445	What Women Want	2000	Nancy Meyers	Mel Gibson	Helen Hunt	Marisa Tomei	Alan Alda	Ashley Johnson
446	Who Framed Roger Rabbit	1988	Robert Zemeckis	Bob Hoskins	Christopher Lloyd	Joanna Cassidy	Charles Fleischer	Stubby Kaye
447	Who's Afraid of Virginia Woolf?	1966	Mike Nichols	Elizabeth Taylor	Richard Burton	George Segal	Sandy Dennis	Warner Bros.
448	Wild Hogs	2007	Walt Becker	Tim Allen	John Travolta	Martin Lawrence	William H. Macy	Ray Liotta
449	Wild Strawberries	1957	Ingmar Bergman	Victor Sjöström	Bibi Andersson	Ingrid Thulin	Gunnar Björnstrand	Jullan Kindahl
450	Witness for the Prosecution	1957	Billy Wilder	Tyrone Power	Marlene Dietrich	Charles Laughton	Elsa Lanchester	John Williams
451	World War Z	2013	Marc Forster	Brad Pitt	Mireille Enos	Daniella Kertesz	James Badge Dale	Ludi Boeken
452	Wreck-It Ralph	2012	Rich Moore	John C. Reilly	Sarah Silverman	Jack McBrayer	Jane Lynch	Alan Tudyk
453	X-Men	2000	Bryan Singer	Hugh Jackman	Patrick Stewart	Ian McKellen	Famke Janssen	James Marsden
454	X-Men Origins: Wolverine	2009	Gavin Hood	Hugh Jackman	Liev Schreiber	Danny Huston	Will i Am	Lynn Collins
455	X-Men: The Last Stand	2006	Brett Ratner	Hugh Jackman	Halle Berry	Ian McKellen	Patrick Stewart	Famke Janssen
456	X2	2003	Bryan Singer	Patrick Stewart	Hugh Jackman	Ian McKellen	Halle Berry	Famke Janssen
457	Yojimbo	1961	Akira Kurosawa	Toshirô Mifune	Tatsuya Nakadai	Yôko Tsukasa	Isuzu Yamada	Daisuke Katô
